#Report Name: DSA-Sec School Applicants Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated Date/Time:30/06/2025 09:07:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated By: Teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC/FIN/RG NO.,NAME (BC/FIN/Passport No.),PRIMARY SCHOOL NAME,TALENT APPLIED 1,INTEGRATED PROGRAMME / SEC PROGRAMME / NO PREFERENCE (Applicable for DT Schools),TALENT APPLIED 2,INTEGRATED PROGRAMME / SEC PROGRAMME / NO PREFERENCE (Applicable for DT Schools),CITIZENSHIP,DATE OF BIRTH,SEX,GEP  STATUS,ADDRESS,POSTAL CODE,MAIN CONTACT NAME,MAIN CONTACT MOBILE NUMBER,MAIN CONTACT EMAIL ADDRESS,ALTERNATE CONTACT NAME,ALTERNATE  CONTACT MOBILE NUMBER,ALTERNATE CONTACT EMAIL ADDRESS,FATHER NAME,FATHER CONTACT,MOTHER NAME,MOTHER CONTACT,FIRST LANGUAGE,SECOND LANGUAGE,APPROVED MOTHER TONGUE,ACADEMIC YEAR,LEVEL,P6 OVERALL %,EL,BLANK,BLANK,FIRST COMBINED MARKS,MATHS,BLANK,BLANK,FIRST COMBINED MARKS,SCI,BLANK,BLANK,FIRST COMBINED MARKS,MT,BLANK,BLANK,FIRST COMBINED  MARKS,HMT,BLANK,BLANK,FIRST COMBINED  MARKS,CONDUCT,TEACHER'S REMARKS,ACADEMIC YEAR,LEVEL,P5 OVERALL %,EL,BLANK,BLANK,FIRST COMBINED MARKS,OVERALL MARKS,MATHS,BLANK,BLANK,FIRST COMBINED MARKS,OVERALL MARKS,SCI,BLANK,BLANK,FIRST COMBINED MARKS,OVERALL MARKS,MT,BLANK,BLANK,FIRST COMBINED MARKS,OVERALL MARKS,HMT,BLANK,BLANK,FIRST COMBINED MARKS,OVERALL MARKS,CONDUCT,TEACHER'S REMARKS,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,CCA YEAR,CCA NAME,EVENT/COMPETITION,INVOLVEMENT,VIA YEAR,VIA  NAME OF ACTIVITY/PROJECT,PARTNER ORGANISATION,VIA YEAR,VIA  NAME OF ACTIVITY/PROJECT,PARTNER ORGANISATION,VIA YEAR,VIA  NAME OF ACTIVITY/PROJECT,PARTNER ORGANISATION,VIA YEAR,VIA  NAME OF ACTIVITY/PROJECT,PARTNER ORGANISATION,VIA YEAR,VIA  NAME OF ACTIVITY/PROJECT,PARTNER ORGANISATION,AWARD YEAR,MOE/SCHOOL BASED AWARD AND ACHIEVEMENTS,AWARD YEAR,MOE/SCHOOL BASED AWARD AND ACHIEVEMENTS,AWARD YEAR,MOE/SCHOOL BASED AWARD AND ACHIEVEMENTS,NON-SCHOOL BASED AWARDS/ACTIVITIES (Period/Award & Activity Description),NON-SCHOOL BASED AWARDS/ACTIVITIES (Period/Award & Activity Description),NON-SCHOOL BASED AWARDS/ACTIVITIES (Period/Award & Activity Description),NON-SCHOOL BASED AWARDS/ACTIVITIES (Period/Award & Activity Description),NON-SCHOOL BASED AWARDS/ACTIVITIES (Period/Award & Activity Description),NAPFA YEAR,BLANK,LATEST HEIGHT (cm),LATEST WEIGHT (kg),SIT-UP SCORE,PERF BAND,STANDING BROAD JUMP SCORE,PERF BAND,SIT AND REACH SCORE,PERF BAND,PULLUP SCORE,PERF BAND,SHUTTLE RUN SCORE,PERF BAND,1.6/2.4KM RUN SCORE,PERF BAND,AWARD,NOMINATED BROADENED DSA INDICATOR,PRIMARY SCHOOLS' REASON FOR RECOMMENDATION
T2345680X,STUDENT 11,Riverside Primary,Choir,,Debate,,Singapore Citizen,18/1/12,F,,704 ABC Street #01-78,530036,Parent 11,96252631,parent11@example.com,Guardian 11,89428861,guardian11@example.com,Mr STUDENT,92328597,Mrs STUDENT,97907225,English,Chinese,Chinese,2025,P6,71,72,,,,,70,,,,,62,,,,,79,,,,,Very Good,Well behaved.,2024,P5,80,79,,,,,76,,,,,76,,,,,60,,,,,,,,,,Excellent,Shows good leadership.,2023,Choir,Internal Competition,Finalist,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,EAGLES Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,145,45,35,C,157,A,35,A,5,B,11,B,794,C,Gold,Yes,Exemplary conduct.
T2345681X,STUDENT 12,Riverside Primary,Robotics,,Debate,,Singapore Citizen,4/1/13,M,No,932 ABC Street #01-52,560892,Parent 12,94406307,parent12@example.com,Guardian 12,87640603,guardian12@example.com,Mr STUDENT,92120685,Mrs STUDENT,94253076,English,Chinese,Chinese,2025,P6,62,68,,,,,81,,,,,84,,,,,78,,,,,Good,Well behaved.,2024,P5,82,82,,,,,61,,,,,87,,,,,85,,,,,,,,,,Very Good,Shows good leadership.,2023,Robotics,Internal Competition,Participant,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,Good Progress Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,131,47,21,A,181,A,32,C,4,B,11,B,640,A,Bronze,Yes,Consistent performer.
T2345682X,STUDENT 13,Greenview Primary,Robotics,,Drama,,Singapore Citizen,29/12/13,M,,132 ABC Street #07-56,564599,Parent 13,98761640,parent13@example.com,Guardian 13,88142610,guardian13@example.com,Mr STUDENT,98151067,Mrs STUDENT,99527571,English,Chinese,Chinese,2025,P6,66,76,,,,,65,,,,,82,,,,,73,,,,,Excellent,Consistent effort.,2024,P5,77,70,,,,,72,,,,,61,,,,,85,,,,,,,,,,Good,Shows good leadership.,2023,Robotics,Internal Competition,Finalist,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,EAGLES Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,146,57,29,A,188,A,37,A,6,A,10,A,729,A,Bronze,Yes,Exemplary conduct.
T2345683X,STUDENT 14,Sunshine Primary,Robotics,,Debate,,Singapore Citizen,18/12/12,M,Yes,130 ABC Street #04-41,506194,Parent 14,92253593,parent14@example.com,Guardian 14,86826111,guardian14@example.com,Mr STUDENT,97737247,Mrs STUDENT,92369119,English,Chinese,Chinese,2025,P6,60,73,,,,,87,,,,,77,,,,,74,,,,,Very Good,Well behaved.,2024,P5,82,60,,,,,63,,,,,67,,,,,88,,,,,,,,,,Very Good,Respectful to peers.,2023,Robotics,Internal Competition,Winner,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,Edusave Merit Bursary,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,168,49,28,C,168,C,28,B,0,B,11,B,664,B,Bronze,Yes,Consistent performer.
T2345684X,STUDENT 15,Sunshine Primary,Art,,Drama,,Singapore Citizen,2/8/13,F,,540 ABC Street #02-47,593058,Parent 15,96548155,parent15@example.com,Guardian 15,84626227,guardian15@example.com,Mr STUDENT,96315236,Mrs STUDENT,98757337,English,Chinese,Chinese,2025,P6,68,62,,,,,90,,,,,74,,,,,77,,,,,Good,Improving steadily.,2024,P5,89,78,,,,,69,,,,,66,,,,,76,,,,,,,,,,Good,Respectful to peers.,2023,Art,National School Games,Winner,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,EAGLES Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,168,53,20,A,188,A,29,B,9,A,10,B,625,C,Gold,Yes,Consistent performer.
T2345685X,STUDENT 16,Riverside Primary,Art,,,,Singapore Citizen,1/11/12,M,,16 ABC Street #03-45,536258,Parent 16,97302514,parent16@example.com,Guardian 16,81574554,guardian16@example.com,Mr STUDENT,95373841,Mrs STUDENT,97561814,English,Chinese,Chinese,2025,P6,76,84,,,,,67,,,,,60,,,,,75,,,,,Good,Improving steadily.,2024,P5,79,87,,,,,88,,,,,88,,,,,82,,,,,,,,,,Excellent,Participates actively in class.,2023,Art,SYF,Finalist,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,EAGLES Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,149,47,30,C,173,B,37,A,2,C,11,C,737,A,Bronze,Yes,Exemplary conduct.
T2345686X,STUDENT 17,Greenview Primary,Science,,Track & Field,,Singapore Citizen,24/6/13,M,,419 ABC Street #08-18,550813,Parent 17,96221333,parent17@example.com,Guardian 17,87839939,guardian17@example.com,Mr STUDENT,98823735,Mrs STUDENT,93438114,English,Chinese,Chinese,2025,P6,67,82,,,,,73,,,,,83,,,,,73,,,,,Good,Well behaved.,2024,P5,84,64,,,,,69,,,,,79,,,,,78,,,,,,,,,,Excellent,Participates actively in class.,2023,Science,SYF,Participant,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,Edusave Merit Bursary,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,161,47,38,C,176,B,39,B,4,A,12,C,793,A,Gold,Yes,Exemplary conduct.
T2345687X,STUDENT 18,Sunshine Primary,Robotics,,Drama,,Singapore Citizen,10/6/13,M,Yes,20 ABC Street #09-62,576615,Parent 18,98289509,parent18@example.com,Guardian 18,88655632,guardian18@example.com,Mr STUDENT,91765718,Mrs STUDENT,93068504,English,Chinese,Chinese,2025,P6,88,82,,,,,79,,,,,65,,,,,83,,,,,Excellent,Consistent effort.,2024,P5,64,60,,,,,87,,,,,87,,,,,74,,,,,,,,,,Excellent,Shows good leadership.,2023,Robotics,Internal Competition,Participant,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,Edusave Merit Bursary,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,155,35,20,A,159,B,33,B,0,A,11,A,638,C,Silver,Yes,Consistent performer.
T2345688X,STUDENT 19,Riverside Primary,Badminton,,,,Singapore Citizen,9/8/12,M,,774 ABC Street #06-31,594894,Parent 19,94660181,parent19@example.com,Guardian 19,89150450,guardian19@example.com,Mr STUDENT,94555129,Mrs STUDENT,94782199,English,Chinese,Chinese,2025,P6,64,66,,,,,77,,,,,77,,,,,61,,,,,Very Good,Well behaved.,2024,P5,81,90,,,,,82,,,,,75,,,,,85,,,,,,,,,,Good,Participates actively in class.,2023,Badminton,Internal Competition,Finalist,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,Edusave Merit Bursary,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,154,38,20,C,182,A,32,A,7,B,10,B,665,A,Silver,Yes,Consistent performer.
T2345689X,STUDENT 20,Greenview Primary,Badminton,,,,Singapore Citizen,9/6/12,M,Yes,899 ABC Street #01-49,554956,Parent 20,97821552,parent20@example.com,Guardian 20,85154031,guardian20@example.com,Mr STUDENT,95373401,Mrs STUDENT,95446222,English,Chinese,Chinese,2025,P6,89,81,,,,,82,,,,,65,,,,,70,,,,,Excellent,Consistent effort.,2024,P5,79,64,,,,,72,,,,,68,,,,,66,,,,,,,,,,Very Good,Respectful to peers.,2023,Badminton,Internal Competition,Participant,,,,,,,,,,,,,,,,2023,Recycling Drive,NEA,,,,,,2024,Beach Cleanup,NParks,,,2024,EAGLES Award,,,,,,,,,,,,,,,Art Club (2023–2024),Malay Dance (2023–2025),Chess Club (2022–2024),,,,2025,,152,59,20,A,169,B,26,C,4,B,11,B,627,A,Bronze,Yes,Strong passion for sport.
